Name,Type,Description,Website,Facebook,Instagram,Audience Network,Messenger,Date
𝐆𝐄𝐓𝐅𝐀𝐑𝐌𝐒 𝐀𝐆𝐑𝐈 𝐓𝐄𝐂𝐇,Agricultural service,"𝐀𝐠𝐫𝐢𝐜𝐮𝐥𝐭𝐮𝐫𝐞 𝐑𝐞𝐬𝐞𝐚𝐫𝐜𝐡 & 𝐃𝐞𝐯𝐞𝐥𝐨𝐩𝐦𝐞𝐧𝐭 𝐅𝐢𝐫𝐦 |
35+ Years of Farming",https://linktr.ee/getfarm,true,true,true,true,06-2023
Imagine TechPark,Property,"Imagine Techpark is an exciting new place to work where you can let your imagination run away only to come back drenched with possibilities. A truly modern and hi-tech commercial building, it is built to suit IT / ITES firms.",https://www.imaginetechpark.in/,true,true,false,false,04-2023
Imagine TechPark,Property,"Imagine Techpark is an exciting new place to work where you can let your imagination run away only to come back drenched with possibilities. A truly modern and hi-tech commercial building, it is built to suit IT / ITES firms.",https://www.imaginetechpark.in/,true,true,false,false,04-2023
SF HealthTech,Sporting goods shop,"Adding fuel to every fitness fanatic’s passion with the best equipment. Experts in setting home/commercial gyms & CrossFit boxes PAN 🇮🇳

#BeUnstoppable",http://www.sfhealthtech.com/,true,true,false,false,04-2023
SF HealthTech,Sporting goods shop,"Adding fuel to every fitness fanatic’s passion with the best equipment. Experts in setting home/commercial gyms & CrossFit boxes PAN 🇮🇳

#BeUnstoppable",http://www.sfhealthtech.com/,true,true,false,false,04-2023
Vikas Hi-tech Nursery,Agricultural service,"India's largest producer of Marigold, Chrysanthemum, Capsicum, Watermelon, and Papaya plants",https://vikashitechnursery.com/,true,false,false,false,03-2023
TECH school of medicine,University,TECH is the world's largest online university.,https://www.techtitute.com/us/medicine,true,false,false,false,02-2023
TECH school of medicine,University,TECH is the world's largest online university.,https://www.techtitute.com/us/medicine,true,false,false,false,02-2023
TECH school of medicine,University,TECH is the world's largest online university.,https://www.techtitute.com/us/medicine,true,false,false,false,02-2023
TLDR Newsletter,Media/news company,"TLDR is a daily newsletter with links and TLDRs of the most interesting stories in tech 📱, science 🚀, and coding 💻!",https://tldr.tech/,true,false,false,false,02-2023
TechSquadTeam,Cleaning service,"TechSquadTeam is a specialist in providing home and local services. We offer a wide range of services at your doorstep such as cleaning service, pest control service, home appliances service, electrical service, plumbing service, spa/salon service & more.",https://techsquadteam.com/,true,false,false,false,02-2023
TLDR Newsletter,Media/news company,"TLDR is a daily newsletter with links and TLDRs of the most interesting stories in tech 📱, science 🚀, and coding 💻!",https://tldr.tech/,true,false,false,false,02-2023
TechSquadTeam,Cleaning service,"TechSquadTeam is a specialist in providing home and local services. We offer a wide range of services at your doorstep such as cleaning service, pest control service, home appliances service, electrical service, plumbing service, spa/salon service & more.",https://techsquadteam.com/,true,false,false,false,02-2023
Autus Cyber Tech Private Limited,Software company,"The Powerful mfg. ERP Software
Automate & Streamline Business Operations in a Single Place.",https://www.autuscybertech.com/,true,false,false,false,02-2023
Sachin Chaudhary,Public figure,"General Secretary @INCUttarPradesh , MP Candidate From Amroha Loksabha 2019 | Social Activist",https://www.sachinchaudhary.com/,true,false,false,false,02-2023
Sudip Roy Barman,Politician,"Official Facebook Page.
Committed and dedicated to the welfare of the people of Tripura.",https://www.inc.in/,true,false,false,false,02-2023
Sudip Roy Barman,Politician,"Official Facebook Page.
Committed and dedicated to the welfare of the people of Tripura.",https://www.inc.in/,true,false,false,false,02-2023
Projector Repair Services,Computer repair service,We do Repair and Service of Multi Brand Projectors. We have been associated as an Authorized Service,https://itechzone.site/service/projector-repair/,true,false,false,false,02-2023
Projector Repair Services,Computer repair service,We do Repair and Service of Multi Brand Projectors. We have been associated as an Authorized Service,https://itechzone.site/service/projector-repair/,true,false,false,false,01-2023
Jobaaj Business Strategy,Education website,-,http://www.jobaajlearnings.com/,true,false,false,false,11-2022
Jobaaj Business Strategy,Education website,-,http://www.jobaajlearnings.com/,true,false,false,false,11-2022
I Support Narendra Modi,Political organisation,We are supporters of Prime Minister of India Shri. Narendra Modi. It's his fan page.,http://www.bjp.org/,true,false,false,false,11-2022
HIE Labs,Clothing (brand),We care about your BALLS. The Makers of Coolism underwear with Patent Pending Ballin Tech Pouch,https://hielabs.com/,true,true,false,false,10-2022
HIE Labs,Clothing (brand),We care about your BALLS. The Makers of Coolism underwear with Patent Pending Ballin Tech Pouch,https://hielabs.com/,true,true,false,false,10-2022
Skill Ninja Academy,Education,Empowering Women of India,http://www.skillninja.in/,true,true,false,false,10-2022
Tech in Asia,Media/news company,"We cover everything tech in Asia, from the latest news to the hottest trends. Sign up free to access our content and daily quick bites sent to your inbox 👉 techin.asia/update",https://techin.asia/3IdTpeh,true,true,false,false,10-2022
Vinod Sonkar,Politician,-,https://vinodsonkar.in/,true,true,false,false,10-2022
डॉ. शिव मोहन सिंह,Political candidate,"प्रोफे. डॉ. शिव मोहन सिंह, प्रत्याशी, गोरखपुर-फैज़ाबाद खंड स्नातक विधायक (एम एल सी)  चुनाव 2023",http://www.icsccb.org/,true,true,true,false,09-2022
Insist Post,News & media website,-,http://www.insistpost.com/,true,true,true,false,09-2022
Insist Post,News & media website,-,http://www.insistpost.com/,true,true,true,false,09-2022
Rajesh Singh,Public figure,"I always want to be part of the solution and not the problem. Being an entrepreneur who turned a town around, I changed my thought of life.",http://www.rajeshkumarsingh.com/,true,true,true,false,09-2022
Rajesh Singh,Public figure,"I always want to be part of the solution and not the problem. Being an entrepreneur who turned a town around, I changed my thought of life.",http://www.rajeshkumarsingh.com/,true,true,true,false,09-2022
I Support Narendra Modi,Political organisation,We are supporters of Prime Minister of India Shri. Narendra Modi. It's his fan page.,http://www.bjp.org/,true,true,true,false,09-2022
Rajesh Singh,Public figure,"I always want to be part of the solution and not the problem. Being an entrepreneur who turned a town around, I changed my thought of life.",http://www.rajeshkumarsingh.com/,true,true,true,false,09-2022
Infra Bazaar Tech Pvt Ltd,Shopping & retail,Infra Bazaar is an Online Ecosystem for any Infrastructure related services.,http://www.infrabazaar.com/,true,true,true,false,09-2022
Saviour Education Abroad,Educational consultant,Saviour Education Abroad is awarded as No - 1 in Punjab with more than 18 branches and 25000+ happy customers.,http://www.saviourconsultant.com/,true,true,true,false,09-2022
Karnataka Skill Development Corporation,Government organisation,Kaushalkar.com is the web-portal of Skill Development Entrepreneurship and Livelihood (SDEL) Department on 15 May 2017. The department was created under Government Order to provide skill and empower every stratum of the society for a better livelihood.,http://www.kaushalkar.com/,true,true,true,false,09-2022
डॉ. शिव मोहन सिंह,Political candidate,"प्रोफे. डॉ. शिव मोहन सिंह, प्रत्याशी, गोरखपुर-फैज़ाबाद खंड स्नातक विधायक (एम एल सी)  चुनाव 2023",http://www.icsccb.org/,true,true,true,false,09-2022
Asset RealTech,Property company,-,http://www.assetrealtech.com/,true,true,true,false,09-2022
Sameer Bhati,Public figure,-,http://www.sameerbhati.com/,true,false,false,false,08-2022
Sameer Bhati,Public figure,-,http://www.sameerbhati.com/,true,false,false,false,08-2022
Sameer Bhati,Public figure,-,http://www.sameerbhati.com/,true,false,false,false,08-2022
The Chaupal,News & media website,-,https://thechaupal.com/,true,false,false,false,08-2022
Sameer Bhati,Public figure,-,http://www.sameerbhati.com/,true,false,false,false,08-2022
Polstrat,Consulting agency,Tackling disparity in the political landscape by providing data-driven solutions.,https://www.polstrat.com/,true,false,false,false,08-2022
I Support Narendra Modi,Political organisation,We are supporters of Prime Minister of India Shri. Narendra Modi. It's his fan page.,http://www.bjp.org/,true,false,false,false,08-2022
The Chaupal,News & media website,-,https://thechaupal.com/,true,false,false,false,07-2022
Rajesh Singh,Public figure,"I always want to be part of the solution and not the problem. Being an entrepreneur who turned a town around, I changed my thought of life.",http://www.rajeshkumarsingh.com/,true,false,false,false,07-2022
Invest ITBihar,Government official,"Invest IT Bihar is an investment promotion initiative of the Department of IT, Government of Bihar, to attract investment, startups, entrepreneurs and big industries from across the globe.",http://investit.bihar.gov.in/,true,false,false,false,07-2022
The Chaupal,News & media website,-,https://thechaupal.com/,true,false,false,false,07-2022
I Support Narendra Modi,Political organisation,We are supporters of Prime Minister of India Shri. Narendra Modi. It's his fan page.,http://www.bjp.org/,true,false,false,false,07-2022
I Support Narendra Modi,Political organisation,We are supporters of Prime Minister of India Shri. Narendra Modi. It's his fan page.,http://www.bjp.org/,true,false,false,false,07-2022
Muppavarapu Harshavardhan,Social service,-,https://twitter.com/vardhan08,true,false,false,false,07-2022
Tech Wire Asia,News & media website,Where technology and business intersect,http://techwireasia.com/,true,false,false,false,06-2022
Tech Wire Asia,News & media website,Where technology and business intersect,http://techwireasia.com/,true,false,false,false,06-2022
WrapCart,E-commerce website,"India's first brand to provide mobile wraps for more than 500+ phone models
Precision guaranteed
Shipping all over India",https://www.wrapcart.com/,true,false,false,false,06-2022
I Support Narendra Modi,Political organisation,We are supporters of Prime Minister of India Shri. Narendra Modi. It's his fan page.,http://www.bjp.org/,true,false,false,false,06-2022
Waghbakritea_transforminglives,Charity organisation,"WaghBakri CSR initiatives are aligned to meet the needs of the underprivileged of the society and also to contribute towards their social, economical, and sustainable development.",https://www.waghbakritea.com/csr.php,true,false,false,false,06-2022
Mint,Media/news company,-,https://www.livemint.com/,true,false,false,false,06-2022
I Support Narendra Modi,Political organisation,We are supporters of Prime Minister of India Shri. Narendra Modi. It's his fan page.,http://www.bjp.org/,true,false,false,false,06-2022
Sanjay Jaiswal,Politician,"MP (LS) for West Champaran, India. Chairperson - Estimate Committee, Former State President BJP Bihar",http://www.drsanjayjaiswal.com/,true,true,false,false,05-2022
BSE Institute UG Program,Education,"Institute that gives you the EDGE
Welcome to the BSE Institute Ltd. This site has been designed to provide information about Under Graduate Programs offered by BSE Institute Ltd.",https://www.bsebti.com/ug/,true,true,false,false,05-2022
Akshat Entertainment,Film,अगर आप Bhojpuri Video को पसंद करते हैं तो Plz हमारे चैनल Akshat Entertainment को Subscribe करें,https://www.youtube.com/channel/UCilwJbDIMGjBn7uFAXN6pvw/videos,true,true,false,false,05-2022
Election Advisor App,Internet company,Readymade Political Graphics / Poster / Banner & Video,http://www.electionAdvisor.in/,true,true,false,false,05-2022
Election Advisor App,Internet company,Readymade Political Graphics / Poster / Banner & Video,http://www.electionAdvisor.in/,true,true,false,false,05-2022
MicroBite,Industrial company,A bioethanol startup | On a mission to make India Fuel Self Reliant | Sister concern of ThePhiFactory |,https://www.microbite.in/,true,true,false,false,05-2022
MicroBite,Industrial company,A bioethanol startup | On a mission to make India Fuel Self Reliant | Sister concern of ThePhiFactory |,https://www.microbite.in/,true,true,false,false,05-2022
MicroBite,Industrial company,A bioethanol startup | On a mission to make India Fuel Self Reliant | Sister concern of ThePhiFactory |,https://www.microbite.in/,true,true,false,false,05-2022
MicroBite,Industrial company,A bioethanol startup | On a mission to make India Fuel Self Reliant | Sister concern of ThePhiFactory |,https://www.microbite.in/,true,true,false,false,05-2022
MicroBite,Industrial company,A bioethanol startup | On a mission to make India Fuel Self Reliant | Sister concern of ThePhiFactory |,https://www.microbite.in/,true,true,false,false,05-2022
I Support Narendra Modi,Political organisation,We are supporters of Prime Minister of India Shri. Narendra Modi. It's his fan page.,http://www.bjp.org/,true,true,false,false,05-2022
"Technocrats Group of Institutions, Bhopal",University,Technocrats - TIT Group of Institutions is one of the oldest and largest education group.,http://technocratsgroup.edu.in/,true,true,false,false,04-2022
Jetking Bhawanipore Kolkata,Computer training school,Computer Hardware Networking and Advanced Networking Engineering Institute,https://www.jetking.com/,true,true,false,false,04-2022
Mechnix Tamil,"Science, technology & engineering","In Mechnix Tamil/தமிழ் Channel, we discuss Topics on Science and technology, Geo-politics, Recent trends in research, etc. 
எங்களைப் பின்தொடரவும்",https://www.youtube.com/c/Mechnix,true,true,false,false,04-2022
New India Junction,News & media website,The Youth Channel,https://www.youtube.com/c/newindiajunction,true,true,false,false,04-2022
New India Junction,News & media website,The Youth Channel,https://www.youtube.com/c/newindiajunction,true,true,false,false,04-2022
New India Junction,News & media website,The Youth Channel,https://www.youtube.com/c/newindiajunction,true,true,false,false,04-2022
New India Junction,News & media website,The Youth Channel,https://www.youtube.com/c/newindiajunction,true,true,false,false,04-2022
"University of Engineering & Management (UEM), Jaipur",University,"Welcome to the Official Page of the University of Engineering & Management, Jaipur in facebook.",http://www.uem.edu.in/,true,true,false,false,04-2022
The Chaupal,News & media website,-,https://thechaupal.com/,true,true,false,false,04-2022
Gurinder Singh Garry Birring,Politician,"Official Facebook Page Of Sh. Gurinder Singh Garry Birring - MLA Amloh, Punjab.",https://en.wikipedia.org/wiki/Gurinder_Singh_Garry_Birring,true,false,false,false,03-2022
I Support Narendra Modi,Political organisation,We are supporters of Prime Minister of India Shri. Narendra Modi. It's his fan page.,http://www.bjp.org/,true,false,false,false,03-2022
IMBO Innovative Midbrain Optimisation Institute,Career counsellor,"IMBO aims at implementing the latest brain enhancement techniques, and help the child grow with less stress, more joy and in a successful manner.",http://www.thehnh.in/,true,false,false,false,03-2022
I Support Narendra Modi,Political organisation,We are supporters of Prime Minister of India Shri. Narendra Modi. It's his fan page.,http://www.bjp.org/,true,false,false,false,03-2022
Higronics,Agricultural service,"higronics® is HiMedia's venture into hydroponics. Established in 2016, we are the technology pioneers of indoor hydroponics in India. 
We are your One Point Solution partner for every assistance you need.",http://www.higronics.com/,true,false,false,false,03-2022
EY Global Delivery Services Careers,Consulting agency,"Welcome to the EY Global Delivery Services Careers Facebook page.  To know more about job opportunities for you, please click the link.",http://www.ey.com/GL/en/Careers/Students/Global-Delivery-Services/EY-global-delivery-services-global-landing#fragment-0-na,true,false,false,false,03-2022
India Ahead News,Media/news company,India Ahead is an English TV channel with its heart in the south and eyes across India. It has established itself as a channel without the cacophony associated with TV news in India. It is India's first and only  Digital First TV news operations.,https://www.indiaaheadnews.com/,true,true,true,true,02-2022
India Ahead News,Media/news company,India Ahead is an English TV channel with its heart in the south and eyes across India. It has established itself as a channel without the cacophony associated with TV news in India. It is India's first and only  Digital First TV news operations.,https://www.indiaaheadnews.com/,true,true,true,true,02-2022
India Ahead News,Media/news company,India Ahead is an English TV channel with its heart in the south and eyes across India. It has established itself as a channel without the cacophony associated with TV news in India. It is India's first and only  Digital First TV news operations.,https://www.indiaaheadnews.com/,true,true,true,true,02-2022
India Ahead News,Media/news company,India Ahead is an English TV channel with its heart in the south and eyes across India. It has established itself as a channel without the cacophony associated with TV news in India. It is India's first and only  Digital First TV news operations.,https://www.indiaaheadnews.com/,true,true,true,true,02-2022
India Ahead News,Media/news company,India Ahead is an English TV channel with its heart in the south and eyes across India. It has established itself as a channel without the cacophony associated with TV news in India. It is India's first and only  Digital First TV news operations.,https://www.indiaaheadnews.com/,true,true,false,false,01-2022
India Ahead News,Media/news company,India Ahead is an English TV channel with its heart in the south and eyes across India. It has established itself as a channel without the cacophony associated with TV news in India. It is India's first and only  Digital First TV news operations.,https://www.indiaaheadnews.com/,true,true,false,false,01-2022
Rajeshwar Singh,Politician,"डॉ. राजेश्वर सिंह, भाजपा विधायक, सरोजनी नगर विधानसभा (170), उत्तर प्रदेश।",http://www.rajeshwarsingh.in/,true,true,false,false,01-2022
Ritu Khanduri,Politician,"Hon’ble Speaker Uttarakhand  Assembly, And MLA Kotdwar",https://ritukhanduri.in/,true,true,false,false,01-2022
India Ahead News,Media/news company,India Ahead is an English TV channel with its heart in the south and eyes across India. It has established itself as a channel without the cacophony associated with TV news in India. It is India's first and only  Digital First TV news operations.,https://www.indiaaheadnews.com/,true,true,false,false,12-2021
Mohan singh aswal,Political candidate,Ex Gram Pradhan A social worker current UKD candidate from Rishikesh in upcoming assembly election  in uttarakhand 2022,http://www.ukd.org/,true,true,false,false,12-2021
Education For All,Education website,-,https://chipitechnologies.com/,true,true,false,false,12-2021
Bees Saal - Uttarakhand Badhaal,Just for fun,-,http://uttarakhandbadhaal.com/,true,true,false,false,12-2021
Bees Saal - Uttarakhand Badhaal,Just for fun,-,http://uttarakhandbadhaal.com/,true,true,false,false,12-2021
Bees Saal - Uttarakhand Badhaal,Just for fun,-,http://uttarakhandbadhaal.com/,true,true,false,false,12-2021
Tech U Help,Media/news company,"Tech U Help was started on 29 December 2016 with a Mission to make education
accessible to all.",https://www.techuhelp.com/,true,true,false,false,12-2021
Gaganbawada Tourism - गगनबावडा पर्यटन,Local & travel website,-,http://www.gaganbawadatourism.in/,true,true,false,false,12-2021
Bees Saal - Uttarakhand Badhaal,Just for fun,-,http://uttarakhandbadhaal.com/,true,true,false,false,12-2021
Imagine TechPark,Property,"Imagine Techpark is an exciting new place to work where you can let your imagination run away only to come back drenched with possibilities. A truly modern and hi-tech commercial building, it is built to suit IT / ITES firms.",https://www.imaginetechpark.in/,true,false,false,false,11-2021
Hefei National High-Tech Industry Development Zone,Public & government service,"The official facebook page of Hefei STIP, the core area of the Hefei Comprehensive National Science Center.",http://hefeihightech.chinadaily.com.cn/,true,false,false,false,11-2021
Kisaan Tractor Bazar,News & media website,Kisaan Tractor Bazar sell new and second-hand tractors with comfortable price.,https://kisaantractorbazar.com/,true,false,false,false,11-2021
APAC News Network,Media/news company,"APAC News Network (www.apacnewsnetwork.com) is India's fastest-growing media research, knowledge consulting and community development organization, headquartered in Noida.",https://apacnewsnetwork.com/,true,false,false,false,11-2021
APAC News Network,Media/news company,"APAC News Network (www.apacnewsnetwork.com) is India's fastest-growing media research, knowledge consulting and community development organization, headquartered in Noida.",https://apacnewsnetwork.com/,true,false,false,false,11-2021
Bees Saal - Uttarakhand Badhaal,Just for fun,-,http://uttarakhandbadhaal.com/,true,false,false,false,11-2021
Dr.RS Gowda,Social service,"Candidate for the post of “Director”, Rajya Vokkaligara Sangha
Agriculturist | Educationist | Engineer| Tycoon |Jurist |  Entrepreneur |  Politician|",http://www.rsgowdru.com/,true,false,false,false,11-2021
UNFPA,Non-profit organisation,"UNFPA is the United Nations sexual and reproductive health agency. Our mission is to deliver a world where every pregnancy is wanted, every childbirth is safe and every young person's potential is fulfilled.",https://www.unfpa.org/donate/Turkiye-Syria/Earthquake,true,false,false,false,11-2021
Chanakya Associate,Political organisation,"Chankya Associates is a great blending of young and enthusiastic tech savvy professionals with experienced blood of 20-25 years in Branding, Campaign, Management and Public Relation. Our experience and expertise make things possible, per se.",http://www.chanakyaassociates.com/,true,false,false,false,11-2021
Goa Congress,Political organisation,Official Facebook Page of Goa Pradesh Congress Committee,https://t.me/INCGoa,true,false,false,false,11-2021
Pratap Jena,Public figure,"Panchayati Raj & Drinking Water, Law, Housing & Urban Development Minister, Odisha. Member of Legislative Assembly, Mahanga. General Secretary, Biju Krushak Janata Dal.",https://en.m.wikipedia.org/wiki/Pratap_Jena,true,false,false,false,11-2021
APAC News Network,Media/news company,"APAC News Network (www.apacnewsnetwork.com) is India's fastest-growing media research, knowledge consulting and community development organization, headquartered in Noida.",https://apacnewsnetwork.com/,true,false,false,false,11-2021
Namaste Digital,Web designer,"Services -
1. Website & App development, 
2. Digital marketing
3. E-commerce solutions, 
4. Cloud solutions, 
5. Bulk SMS & Voice Calls(For Schools, Coachings, Political Parities etc)
6. Smart marketing with Qr Codes 
7. Telemarketing
8. Election Campaig",https://www.namastedigital.web.app/,true,false,false,false,10-2021
GreenTech Film Festival,Community,"Platformă de educaţie care promovează stilul de viaţă sustenabil, grija faţă de mediu şi tehnologiile verzi existente, prin filme documentare, dezbateri, ateliere şi expoziţii.",http://greentechfilmfestival.ro/,true,false,false,false,10-2021
India Development Review,Non-governmental organisation (NGO),The best reads on development in India.,http://idronline.org/,true,false,false,false,10-2021
Namaste Digital,Web designer,"Services -
1. Website & App development, 
2. Digital marketing
3. E-commerce solutions, 
4. Cloud solutions, 
5. Bulk SMS & Voice Calls(For Schools, Coachings, Political Parities etc)
6. Smart marketing with Qr Codes 
7. Telemarketing
8. Election Campaig",https://www.namastedigital.web.app/,true,false,false,false,10-2021
Earth Day Network-India,Environmental conservation organisation,-,https://www.earthday.org/india/,true,false,false,false,10-2021
Banshiwala Cement,Industrial company,"Banshiwala Cement is a fast-growing, multidimensional business conglomerate with sales, manufacturing, and R&D operations spread all across the India",http://banshiwalacement.com/,true,false,false,false,10-2021
Future Hi-Tech Batteries,Energy company,"We at Future Hi-Tech Batteries are one of the promising and progressive manufacturing units of Lithium batteries in India, providing wide range of customized solutions for Lithium Batteries serving numerous applications.",http://fhtbl.com/,true,false,false,false,10-2021
Bees Saal - Uttarakhand Badhaal,Just for fun,-,http://uttarakhandbadhaal.com/,true,true,false,false,09-2021
Bangal Student Credit Card,Educational consultant,-,https://wa.me/message/KIE235S7CXLUJ1,true,true,false,false,08-2021
Investing.com UK,Business & economy website,"Investing.com is a leading financial platform which offers real-time quotes, streaming charts, up-to-date financial news, technical analysis and more. Free, for everyone, anywhere.",https://uk.investing.com/,true,true,false,false,08-2021
Sandeep Kumar,Political candidate,"सन्दीप कुमार (बी.टेक, एमबीए)
पूर्व जिला उपाधक्ष्य भाजपा अजामो
70, खुर्जा विधानसभा",http://WWW.FB.COM/SANDEEPSHYAMKUMAR/,true,true,false,false,08-2021
The Bastion,Media/news company,"Development in Depth. 

Founded in 2017, The Bastion is an independent digital magazine that publishes ideas and reportage on issues of development for India’s youth.",http://www.thebastion.co.in/,true,true,false,false,08-2021
Xiamen King Day International Corporation,E-commerce website,"Xiamen King Day International Corporation, which has specialized in stone and stone tools from 2007, is one of the leading international integrated enterprises covering mining, manufacturing, and import and export trade in China stone field,",http://www.amoygranite.com/,true,true,false,false,08-2021
Kolkata24x7,Media/news company,"Get Bengali news updates, Bengali News Headlines , Latest Bangla Khabar, Bengali News from Kolkata",https://kolkata24x7.in/,true,true,false,false,08-2021
DW Global Media Forum,Media/news company,"DW's international and interdisciplinary media conference. Register now for ""Overcoming divisions"" and join us on June 19-20, 2023.

Netiquette: dw.com/p/3NHtN",https://www.dw.com/gmf,true,true,false,false,08-2021
Dezino Tech Maharani Bagh,Education,"Dezino Tech is offering numerous software training in varied fields (i.e. Mechanical, civil, electrical and management.)",https://dezinotech.in/,true,true,false,false,08-2021
ggus.in,Digital creator,official account of Gagan Gautam Ujwala Shinde,http://ggus.in/,true,true,false,false,08-2021
Amrita Vishwa Vidyapeetham PG Programs,University,"This is the Official Page of Amrita Vishwa Vidyapeetham's PhD Programs.
We are ranked as the 5th Best Overall University, No.1 Private University in India (2021 NIRF ranking) and 5 in the World for Quality Education (THE Impact Rankings 2021)",http://www.amrita.edu/PhD2022,true,true,false,false,08-2021
Mantri KNS Carica,Property developer,"Mantri KNS Carica is a mega residential project offering residential plots for sale in Kengeri, just off Mysore Road. With prices starting at just Rs.20 lakhs, these BMRDA approved branded plots in Kengeri come with luxurious lifestyle amenities.",https://www.mantricarica.in/,true,true,false,false,08-2021
Jignesh Mevani,Politician,"MLA for Vadgam LAC, Gujarat.",http://t.me/jigneshmevanisupporters,true,true,false,false,08-2021
Amrita Vishwa Vidyapeetham PG Programs,University,"This is the Official Page of Amrita Vishwa Vidyapeetham's PhD Programs.
We are ranked as the 5th Best Overall University, No.1 Private University in India (2021 NIRF ranking) and 5 in the World for Quality Education (THE Impact Rankings 2021)",http://www.amrita.edu/PhD2022,true,true,false,false,08-2021
Pt. Shekhar Dixit,Politician,"President , Rashtriya Kisan Manch 🇮🇳. Aam Aadmi Party @aap @orgrkmkisan",https://ptshekhardixit.com/,true,true,false,false,08-2021
